Sta node#      distance        timerx      timeidle        timetx      timesleep      totenergy
0         33.7375         45.0804         56.223         0.6738         0         +450.58606906800002889213
1         17.2981         45.386         56.2231         0.3678         0         +449.72832678160006025792
2         26.8798         45.1448         56.223         0.609         0         +450.40338719000004630288
3         37.4362         44.3628         56.223         1.3914         0         +452.59528058640006520363
4         45.6323         43.9344         56.223         1.8198         0         +453.79483330919998707031
5         24.4584         45.113         56.2231         0.6408         0         +450.49275464240002975202
6         49.4448         44.8758         56.223         0.8784         0         +451.15886497960002543550
7         31.5883         45.3382         56.2231         0.41564         0         +449.86213515680003638408
8         25.3349         45.3716         56.223         0.3822         0         +449.76836419160002833450
9         41.4664         45.4098         56.223         0.3444         0         +449.66380796640004291476
10         28.662         45.1172         56.2232         0.6366         0         +450.48146403880002708320
11         43.4818         45.3198         56.2232         0.4344         0         +449.91672143720006715739
12         10.0502         45.359         56.2232         0.3948         0         +449.80432965440002135438
13         24.788         45.2096         56.2231         0.5442         0         +450.22235183600008667781
14         39.4512         43.2804         56.2232         2.4738         0         +455.62695759520005367449
15         24.9932         45.2168         56.2231         0.537         0         +450.20209034560002692160
16         44.3417         45.3732         56.223         0.381         0         +449.76625195240001175989
17         17.192         45.1514         56.2231         0.6024         0         +450.38544508560005397158
18         44.9268         44.4402         56.223         1.314         0         +452.37878374560006022875
19         41.5302         45.2046         56.223         0.5496         0         +450.23846961079999573485
20         19.1848         45.2978         56.2231         0.456         0         +449.97526498840005615420
21         47.7565         42.6414         56.223         3.1128         0         +457.41517716520002068137
22         47.9845         44.1438         56.223         1.6104         0         +453.20865418840003258083
23         31.1189         43.7288         56.223         2.025         0         +454.36824364200003856240
24         42.7198         45.3996         56.2231         0.3546         0         +449.69270715800001880780
25         48.0854         45.0906         56.2232         0.6636         0         +450.55830939280002667147
26         10.2653         43.3712         56.2231         2.3826         0         +455.36974355400002423266
27         24.1852         45.3794         56.223         0.3744         0         +449.74654296200003500417
28         12.8512         45.3692         56.2231         0.3846         0         +449.77561406160003798504
29         32.136         43.8024         56.223         1.9518         0         +454.16462403160005578684
30         11.481         45.0464         56.2231         0.7074         0         +450.67926830240003255312
31         44.6432         45.366         56.223         0.3882         0         +449.78646091999996770028
